energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.579,0.168,127.003,0.0356,0.18,0.543,4,0.785,7,527240,-10.069,0.262,1,audio_features,spotify:track:5z5wYWL1IO6y2yEFBOiGt0
0.799,0.109,139.206,0.0342,0.00969,0.876,4,0.617,7,476920,-9.617,0.531,1,audio_features,spotify:track:6v7FyhfHK6NvJAarxecq02
0.749,0.0852,140.074,0.0277,0.00349,0.89,4,0.52,9,363840,-5.782,0.205,1,audio_features,spotify:track:3bg6akaHie5A7fpUl0wyBc
0.672,0.0963,130.003,0.029,0.0015,0.162,4,0.585,4,356734,-8.868,0.318,0,audio_features,spotify:track:3jCnIYCX1frG6i4woZD91f
0.722,0.228,140.817,0.252,0.00687,0.0,4,0.482,2,232416,-7.372,0.4,1,audio_features,spotify:track:73doEQBZgtkom1Iyy76dEk
0.293,0.0864,106.798,0.0272,0.486,0.000273,4,0.551,2,150640,-12.503,0.322,1,audio_features,spotify:track:4vpeKl0vMGdAXpZiQB2Dtd
0.725,0.0905,124.618,0.0324,0.369,2.16e-05,4,0.413,3,429760,-5.787,0.44,0,audio_features,spotify:track:5uvosCdMlFdTXhoazkTI5R
0.556,0.589,85.206,0.0513,0.0828,0.000359,4,0.401,2,275867,-10.532,0.654,1,audio_features,spotify:track:6Pq9MmkDQYZiiCDpxnvrf6
0.995,0.364,87.803,0.185,0.000146,0.438,3,0.143,8,257733,-5.698,0.079,1,audio_features,spotify:track:4PWxt9Fy949kUtkEi2GI5V
0.905,0.0698,108.9,0.0754,0.00876,0.578,4,0.533,2,170813,-5.27,0.486,1,audio_features,spotify:track:0wJoRiX5K5BxlqZTolB2LD
